Code,Name,Market,Marcap
060310,3S,KOSDAQ,80915036000
095570,AJ네트웍스,KOSPI,207483900015
006840,AK홀딩스,KOSPI,102668597750
054620,APS,KOSDAQ,68058617700
265520,AP시스템,KOSDAQ,285062549740
211270,AP위성,KOSDAQ,226083736960
139050,BF랩스,KOSDAQ,24247965555
027410,BGF,KOSPI,365159557665
282330,BGF리테일,KOSPI,1896044488200
126600,BGF에코머티리얼즈,KOSDAQ,247929251050
138930,BNK금융지주,KOSPI,4685938198300
001460,BYC,KOSPI,263899837500
083790,CG인바이츠,KOSDAQ,99962436600
001040,CJ,KOSPI,5543629620000
079160,CJCGV,KOSPI,1011703307160
035760,CJENM,KOSDAQ,1388115448200
311690,CJ바이오사이언스,KOSDAQ,111579045480
000120,CJ대한통운,KOSPI,2244734649600
011150,CJ씨푸드,KOSPI,100606164400
097950,CJ제일제당,KOSPI,3183960339000
051500,CJ프레시웨이,KOSDAQ,283137326100
058820,CMG제약,KOSDAQ,255027765675
056730,CNT85,KOSDAQ,42762154322
000480,CR홀딩스,KOSPI,221323112800
065770,CS,KOSDAQ,14577758630
083660,CSA코스믹,KOSDAQ,28587403845
000590,CS홀딩스,KOSPI,85778012600
012030,DB,KOSPI,301358551634
005830,DB손해보험,KOSPI,8687160000000
016610,DB증권,KOSPI,486860081830
000990,DB하이텍,KOSPI,3563025757200
099520,DGI,KOSDAQ,58141862016
000300,DH오토넥스,KOSPI,174035631000
290120,DH오토리드,KOSDAQ,50162869330
025440,DH오토웨어,KOSDAQ,62635091616
001530,DI동일,KOSPI,393204550400
015590,DKME,KOSPI,122045495160
000210,DL,KOSPI,769080942800
375500,DL이앤씨,KOSPI,1615458760250
068790,DMS,KOSDAQ,142869517920
007340,DN오토모티브,KOSPI,1386707500500
004840,DRB동일,KOSPI,96959450000
241520,DSC인베스트먼트,KOSDAQ,193590000000
155660,DSR,KOSPI,60880000000
069730,DSR제강,KOSPI,53136000000
017860,DS단석,KOSPI,327769711680
180400,DXVX,KOSDAQ,176205566560
092780,DYP,KOSPI,79932552200
017940,E1,KOSPI,563206000000
418620,E8,KOSDAQ,24912348635
245620,EDGC,KOSDAQ,57474989665
037370,EG,KOSDAQ,48558592360
050120,ES큐브,KOSDAQ,38861106390
383220,F&F,KOSPI,2520605535000
007700,F&F홀딩스,KOSPI,784243058350
214270,FSN,KOSDAQ,79168017708
130500,GH신소재,KOSDAQ,37598959420
114090,GKL,KOSPI,831958761500
900290,GRT,KOSDAQ,259932750000
078930,GS,KOSPI,5649254982400
083450,GST,KOSDAQ,506825000000
006360,GS건설,KOSPI,1621769235500
001250,GS글로벌,KOSPI,191065663660
007070,GS리테일,KOSPI,1747394973500
499790,GS피앤엘,KOSPI,878506256300
297890,HB솔루션,KOSDAQ,156887260530
440290,HB인베스트먼트,KOSDAQ,54737795700
078150,HB테크놀러지,KOSDAQ,175140365324
225530,HC보광산업,KOSDAQ,100658273790
060560,HC홈센타,KOSDAQ,90254345688
012630,HDC,KOSPI,997686740700
039570,HDC랩스,KOSPI,208958688050
089470,HDC현대EP,KOSPI,139084000000
294870,HDC현대산업개발,KOSPI,1354395631500
009540,HD한국조선해양,KOSPI,31140171040000
267250,HD현대,KOSPI,18563374975000
267270,HD현대건설기계,KOSPI,2100271173000
443060,HD현대마린솔루션,KOSPI,8759627634000
071970,HD현대마린엔진,KOSPI,3147914736000
322000,HD현대에너지솔루션,KOSPI,649600000000
042670,HD현대인프라코어,KOSPI,2606147084400
267260,HD현대일렉트릭,KOSPI,32154044420000
329180,HD현대중공업,KOSPI,66230532975000
376270,HEM파마,KOSDAQ,375064894800
097230,HJ중공업,KOSPI,2433459520800
195940,HK이노엔,KOSDAQ,1293259524150
014790,HLD&I,KOSPI,102028929695
028300,HLB,KOSDAQ,7027770763000
003580,HLB글로벌,KOSPI,120579141900
278650,HLB바이오스텝,KOSDAQ,125723003855
067630,HLB생명과학,KOSDAQ,524243349400
024850,HLB이노베이션,KOSDAQ,351222752160
187420,HLB제넥스,KOSDAQ,78733266300
047920,HLB제약,KOSDAQ,573332742880
115450,HLB테라퓨틱스,KOSDAQ,278461467900
046210,HLB파나진,KOSDAQ,79573644500
196300,HLB펩,KOSDAQ,78343345140
204320,HL만도,KOSPI,2934820000000
060980,HL홀딩스,KOSPI,414606465000
011200,HMM,KOSPI,19100568892500
403870,HPSP,KOSDAQ,2884564596000
036640,HRS,KOSDAQ,83573028000
035000,HS애드,KOSPI,134361368760
002460,HS화성,KOSPI,117740000000
487570,HS효성,KOSPI,216103766000
298050,HS효성첨단소재,KOSPI,904949496000
015360,INVENI,KOSPI,379620000000
095340,ISC,KOSDAQ,2236289619000
175330,JB금융지주,KOSPI,4576218884100
950170,JTC,KOSDAQ,270115936560
234080,JW생명과학,KOSPI,197298542840
067290,JW신약,KOSDAQ,104083445700
001060,JW중외제약,KOSPI,622898627500
001067,JW중외제약2우B,KOSPI,12493393500
096760,JW홀딩스,KOSPI,255780299320
035900,JYPEnt.,KOSDAQ,2458848446400
318000,KBG,KOSDAQ,38151073395
008970,KBI동양철관,KOSPI,183148590855
024840,KBI메탈,KOSDAQ,62173283419
105560,KB금융,KOSPI,49628219600300
415640,KB발해인프라,KOSPI,1205848192320
024120,KB오토시스,KOSDAQ,43125000000
002380,KCC,KOSPI,3918933711000
021320,KCC건설,KOSDAQ,117914000000
344820,KCC글라스,KOSPI,414434786400
009070,KCTC,KOSPI,191700000000
009440,KC그린홀딩스,KOSPI,17568790596
119650,KC코트렐,KOSPI,100782913662
044180,KD,KOSDAQ,15870372606
092220,KEC,KOSPI,137924277867
046440,KG모빌리언스,KOSDAQ,172188933060
003620,KG모빌리티,KOSPI,710335941120
016380,KG스틸,KOSPI,529047065130
151860,KG에코솔루션,KOSDAQ,260388420940
035600,KG이니시스,KOSDAQ,270308997540
001390,KG케미칼,KOSPI,332467333350
060720,KH바텍,KOSDAQ,338113871760
001940,KISCO홀딩스,KOSPI,367168242000
058400,KNN,KOSDAQ,92833233720
025000,KPX케미칼,KOSPI,203172097600
092230,KPX홀딩스,KOSPI,304174512000
000040,KR모터스,KOSPI,34895574336
044450,KSS해운,KOSPI,202001450000
101000,KS인더스트리,KOSDAQ,25218888708
030200,KT,KOSPI,13432755810500
033780,KT&G,KOSPI,16953243886500
058850,KTcs,KOSPI,116103200000
058860,KTis,KOSPI,92051290000
089600,KT나스미디어,KOSDAQ,140553180450
418470,KT밀리의서재,KOSDAQ,111869204340
043610,KT지니뮤직,KOSDAQ,108617753622
122450,KX,KOSDAQ,155973022320
052900,KX하이텍,KOSDAQ,61974984288
036560,KZ정밀,KOSDAQ,222232500000
061970,LB세미콘,KOSDAQ,231751193940
309960,LB인베스트먼트,KOSDAQ,120033125630
093050,LF,KOSPI,508191200000
003550,LG,KOSPI,13077990408000
034220,LG디스플레이,KOSPI,6120000000000
051900,LG생활건강,KOSPI,4024546717000
064400,LG씨엔에스,KOSPI,6597933058800
373220,LG에너지솔루션,KOSPI,91728000000000
032640,LG유플러스,KOSPI,6550584130200
011070,LG이노텍,KOSPI,6614956406500
066570,LG전자,KOSPI,15311320378000
037560,LG헬로비전,KOSPI,174642680575
051910,LG화학,KOSPI,23719027248000
079550,LIG넥스원,KOSPI,12232000000000
225190,LK삼양,KOSDAQ,97528320960
006260,LS,KOSPI,7037400000000
010120,LSELECTRIC,KOSPI,15780000000000
000680,LS네트웍스,KOSPI,259655937720
060370,LS마린솔루션,KOSDAQ,1520150651400
417200,LS머트리얼즈,KOSDAQ,865277508610
229640,LS에코에너지,KOSPI,1136183010900
078020,LS증권,KOSDAQ,272967454800
322180,LS티라유텍,KOSDAQ,210893598720
108320,LX세미콘,KOSPI,835985020000
001120,LX인터내셔널,KOSPI,1403112000000
108670,LX하우시스,KOSPI,255578595000
383800,LX홀딩스,KOSPI,612533940700
476080,M83,KOSDAQ,72413370000
086960,MDS테크,KOSDAQ,137153216912
023150,MH에탄올,KOSPI,34863535350
035420,NAVER,KOSPI,38821027905000
160550,NEW,KOSDAQ,61532963730
053290,NE능률,KOSDAQ,31829667282
181710,NHN,KOSPI,1041549820200
060250,NHNKCP,KOSDAQ,603212377220
104200,NHN벅스,KOSDAQ,82737729000
005940,NH투자증권,KOSPI,7928662210250
034310,NICE,KOSPI,461669891920
063570,NICE인프라,KOSDAQ,139151991600
030190,NICE평가정보,KOSPI,950242930510
008260,NI스틸,KOSPI,97955400725
004250,NPC,KOSPI,133660800000
222160,NPX,KOSDAQ,79551289560
456040,OCI,KOSPI,660694131000
010060,OCI홀딩스,KOSPI,2221757608000
178920,PI첨단소재,KOSPI,458701949640
001340,PKC,KOSPI,243457765940
024940,PN풍년,KOSDAQ,49200000000
005490,POSCO홀딩스,KOSPI,28447932628000
332570,PS일렉트로닉스,KOSDAQ,348566218960
218410,RFHIC,KOSDAQ,970025977200
327260,RF머트리얼즈,KOSDAQ,205349174850
474610,RF시스템즈,KOSDAQ,75195803200
091340,S&K폴리텍,KOSDAQ,26450409460
010950,S-Oil,KOSPI,10335100305600
419530,SAMG엔터,KOSDAQ,372840344250
019550,SBI인베스트먼트,KOSDAQ,114905201675
034120,SBS,KOSPI,340229704920
003080,SB성보,KOSPI,56056000000
246960,SCL사이언스,KOSDAQ,76028100045
099220,SDN,KOSDAQ,69685287550
036540,SFA반도체,KOSDAQ,899597857410
255220,SG,KOSDAQ,245149564240
040610,SG&G,KOSDAQ,59857116176
184230,SGA솔루션즈,KOSDAQ,54775404681
016250,SGCE&C,KOSDAQ,75504420140
005090,SGC에너지,KOSPI,297552726450
001380,SG글로벌,KOSPI,68480389789
004060,SG세계물산,KOSPI,65383262080
001770,SHD,KOSPI,21418299140
002360,SH에너지화학,KOSPI,40674945180
009160,SIMPAC,KOSPI,328815969040
033530,SJG세종,KOSPI,288781575180
123700,SJM,KOSPI,58674416480
025530,SJM홀딩스,KOSPI,55853189920
034730,SK,KOSPI,21859564954500
357880,SKAI,KOSDAQ,87560466606
011790,SKC,KOSPI,3995105439000
018670,SK가스,KOSPI,2112538254000
001740,SK네트웍스,KOSPI,979154716350
006120,SK디스커버리,KOSPI,1110045227500
210980,SK디앤디,KOSPI,236068403760
302440,SK바이오사이언스,KOSPI,3862909024250
326030,SK바이오팜,KOSPI,9366264700000
402340,SK스퀘어,KOSPI,56731415892500
361610,SK아이이테크놀로지,KOSPI,1995605240000
100090,SK오션플랜트,KOSPI,1277677738050
096770,SK이노베이션,KOSPI,18190079988800
475150,SK이터닉스,KOSPI,702084073600
001510,SK증권,KOSPI,315217644057
285130,SK케미칼,KOSPI,1216103249800
017670,SK텔레콤,KOSPI,11791973909700
000660,SK하이닉스,KOSPI,545273771385000
048550,SMC&C,KOSDAQ,123504569740
063440,SMLifeDesign,KOSDAQ,81011311040
003570,SNT다이내믹스,KOSPI,1885427919900
064960,SNT모티브,KOSPI,999241240800
100840,SNT에너지,KOSPI,795176106350
036530,SNT홀딩스,KOSPI,908126450200
067160,SOOP,KOSDAQ,764402005500
005610,SPC삼립,KOSPI,440079459000
011810,STX,KOSPI,109493282310
465770,STX그린로지스,KOSPI,43886715840
077970,STX엔진,KOSPI,1539678216050
002820,SUN&L,KOSPI,30574373325
289080,SV인베스트먼트,KOSDAQ,107486893800
084870,TBH글로벌,KOSPI,25758171465
002710,TCC스틸,KOSPI,361486881630
013720,THECUBE&,KOSDAQ,50791499405
089230,THEE&M,KOSDAQ,37407932190
032540,TJ미디어,KOSDAQ,77877694310
069260,TKG휴켐스,KOSPI,762794452080
007980,TP,KOSPI,92217584260
048770,TPC,KOSDAQ,54707498635
246690,TS인베스트먼트,KOSDAQ,52179150396
317240,TS트릴리온,KOSDAQ,67770586560
002900,TYM,KOSPI,247572000000
024070,WISCOM,KOSPI,29886554100
057030,YBM넷,KOSDAQ,47306821300
037270,YGPLUS,KOSPI,445005138900
040300,YTN,KOSDAQ,175689671300
051390,YW,KOSDAQ,43434282600
052220,iMBC,KOSDAQ,74290000000
139130,iM금융지주,KOSPI,2288900307750
079940,가비아,KOSDAQ,419606204000
078890,가온그룹,KOSDAQ,105213263760
000500,가온전선,KOSPI,1515349334000
399720,가온칩스,KOSDAQ,697185242000
036620,감성코퍼레이션,KOSDAQ,466999458360
000860,강남제비스코,KOSPI,199940000000
198440,강동씨앤엘,KOSDAQ,65075264928
217730,강스템바이오텍,KOSDAQ,201746149605
035250,강원랜드,KOSPI,3848789595000
114190,강원에너지,KOSDAQ,365200071240
094480,갤럭시아머니트리,KOSDAQ,386413904300
011420,갤럭시아에스엠,KOSPI,53721805800
039240,경남스틸,KOSDAQ,72305338720
053950,경남제약,KOSDAQ,48451361960
